"filename", "language", "JSON", "Python", "comment", "blank", "total"
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/__init__.py", "Python", 0, 42, 9, 19, 70
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/api.py", "Python", 0, 113, 13, 32, 158
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/config_flow.py", "Python", 0, 66, 5, 24, 95
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/const.py", "Python", 0, 3, 0, 0, 3
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/inverter.py", "Python", 0, 76, 14, 27, 117
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/manifest.json", "JSON", 10, 0, 0, 0, 10
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/path.py", "Python", 0, 214, 0, 1, 215
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/strings.json", "JSON", 21, 0, 0, 1, 22
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/text.py", "Python", 0, 32, 1, 12, 45
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/translations/en.json", "JSON", 38, 0, 0, 1, 39
"/home/user/Documents/core-dev/homeassistant/custom_components/imeon_inverter/translations/fr.json", "JSON", 38, 0, 0, 1, 39
"Total", "-", 107, 546, 42, 118, 813